operation,file,mean_time,std_time,mean_energy,std_energy,geometry,format
DELETE,geom_data/simple_polygons.parquet,0.0781026840209961,0.016183913429969318,0.00031899999999999995,5.537213197990485e-05,simple_polygons,parquet
JOIN,geom_data/simple_polygons.parquet,0.12216329574584961,0.02419641589062259,0.000271815,3.933280151476629e-05,simple_polygons,parquet
SELECT,geom_data/complex_polygons.geojson,0.1320561408996582,0.05908237748558603,0.00021461,5.6623933985550666e-05,complex_polygons,geojson
INSERT,geom_data/complex_polygons.geojson,0.2754683494567871,0.04326716602982113,0.00019914500000000002,1.969072053023962e-05,complex_polygons,geojson
UPDATE,geom_data/complex_polygons.geojson,0.36056227684020997,0.08987309364861792,0.00020576,4.49958042488408e-05,complex_polygons,geojson
DELETE,geom_data/complex_polygons.geojson,0.2754961967468262,0.059083193381248116,0.000203775,2.3534992564264817e-05,complex_polygons,geojson
JOIN,geom_data/complex_polygons.geojson,0.16941021680831908,0.008127359050178688,0.00018609500000000003,1.2888812008870323e-05,complex_polygons,geojson
SELECT,geom_data/complex_polygons.shp,0.04693671464920044,0.0075803134519220215,0.00020725000000000005,1.654168975649102e-05,complex_polygons,shp
INSERT,geom_data/complex_polygons.shp,0.08316662311553955,0.004522526701385962,0.00021810000000000002,1.1670903992407788e-05,complex_polygons,shp
UPDATE,geom_data/complex_polygons.shp,0.16845130920410156,0.057685093801461966,0.00023086499999999997,7.136506340640356e-05,complex_polygons,shp
DELETE,geom_data/complex_polygons.shp,0.09705359935760498,0.035291413386892324,0.00022459000000000004,3.1273837308523565e-05,complex_polygons,shp
JOIN,geom_data/complex_polygons.shp,0.12167457342147828,0.049939131056203234,0.00022784,9.399653397865265e-05,complex_polygons,shp
SELECT,geom_data/complex_polygons.gpkg,0.04850320816040039,0.032576314454404495,0.00026851500000000004,9.977881175379871e-05,complex_polygons,gpkg
INSERT,geom_data/complex_polygons.gpkg,0.22029076814651488,0.02991694636323058,0.000263935,2.7740372654310176e-05,complex_polygons,gpkg
UPDATE,geom_data/complex_polygons.gpkg,0.431888735294342,0.1608945070692994,0.0002408350000000001,3.459842879380508e-05,complex_polygons,gpkg
DELETE,geom_data/complex_polygons.gpkg,0.5959927320480347,0.08470936814709139,0.000288065,9.73920031368079e-05,complex_polygons,gpkg
JOIN,geom_data/complex_polygons.gpkg,0.14470124244689941,0.08148722144558769,0.00033511999999999995,0.00019319135229093462,complex_polygons,gpkg
SELECT,geom_data/complex_polygons.parquet,0.04717857837677002,0.01066868973057515,0.0006496400000000002,0.00017048645811324725,complex_polygons,parquet
INSERT,geom_data/complex_polygons.parquet,0.08722794055938721,0.018438598148081096,0.00040275000000000006,0.00015975618767359218,complex_polygons,parquet
UPDATE,geom_data/complex_polygons.parquet,0.18842266798019408,0.04135279127989895,0.00026874000000000006,4.4967414868991535e-05,complex_polygons,parquet
DELETE,geom_data/complex_polygons.parquet,0.06700531244277955,0.01627941392823879,0.00028294500000000005,4.689972787767537e-05,complex_polygons,parquet
JOIN,geom_data/complex_polygons.parquet,0.13894914388656615,0.045450154722290095,0.000258465,3.35464197046421e-05,complex_polygons,parquet
